Time,Algae Concentration (mg/L),Average - Input 1 (mV),Average - Input 2 (mV),Average - Input 3 (mV)
2020-07-19 00:00:00,0.08405800000000001,119.33333333333331,95.0,148.0
2020-07-19 00:30:00,0.08405800000000001,119.88888888888887,95.33333333333331,148.16666666666669
2020-07-19 01:00:00,0.08405800000000001,118.66666666666669,94.0,146.5
2020-07-19 01:30:00,0.08405800000000001,118.77777777777777,93.66666666666669,146.16666666666666
2020-07-19 02:00:00,0.08405800000000001,117.77777777777777,92.83333333333334,145.5
2020-07-19 02:30:00,0.08405800000000001,117.55555555555556,91.66666666666669,144.5
2020-07-19 03:00:00,0.08405800000000001,117.88888888888887,91.83333333333331,144.16666666666669
2020-07-19 03:30:00,0.08405800000000001,116.55555555555556,91.0,143.5
2020-07-19 04:00:00,0.08405800000000001,116.66666666666669,90.66666666666669,143.16666666666666
2020-07-19 04:30:00,0.08405800000000001,116.0,90.16666666666669,141.83333333333334
2020-07-19 05:00:00,0.08405800000000001,115.55555555555556,90.0,141.66666666666666
2020-07-19 05:30:00,0.08405800000000001,115.77777777777777,89.5,141.66666666666666
2020-07-19 06:00:00,0.08405800000000001,115.22222222222223,89.16666666666669,140.33333333333331
2020-07-19 06:30:00,0.08405800000000001,115.2222222222222,89.0,139.66666666666666
2020-07-19 07:00:00,0.08405800000000001,114.55555555555556,88.0,138.5
2020-07-19 07:30:00,0.08405800000000001,114.66666666666669,88.16666666666669,139.0
2020-07-19 08:00:00,0.08405800000000001,114.2222222222222,87.66666666666669,138.33333333333331
2020-07-19 08:30:00,0.08405800000000001,113.88888888888891,87.0,137.16666666666669
2020-07-19 09:00:00,0.08405800000000001,113.55555555555556,87.0,136.33333333333331
2020-07-19 09:30:00,0.08405800000000001,112.55555555555556,86.16666666666669,135.5
2020-07-19 10:00:00,0.08405800000000001,113.11111111111109,86.33333333333334,136.33333333333334
2020-07-19 10:30:00,0.08405800000000001,112.33333333333331,86.0,135.16666666666666
2020-07-19 11:00:00,0.08405800000000001,111.88888888888887,85.66666666666666,135.0
2020-07-19 11:30:00,0.08405800000000001,111.55555555555556,85.33333333333334,134.0
2020-07-19 12:00:00,0.08405800000000001,111.22222222222223,85.0,133.66666666666666
2020-07-19 12:30:00,0.08405800000000001,110.66666666666664,85.5,133.66666666666666
2020-07-19 13:00:00,0.08405800000000001,110.0,85.0,133.16666666666666
2020-07-19 13:30:00,0.08405800000000001,110.11111111111113,84.5,132.66666666666669
2020-07-19 14:00:00,0.08405800000000001,109.11111111111109,84.0,131.33333333333331
2020-07-19 14:30:00,0.08405800000000001,109.0,83.83333333333333,131.66666666666669
2020-07-19 15:00:00,0.08405800000000001,108.7777777777778,83.83333333333333,131.33333333333331
2020-07-19 15:30:00,0.08405800000000001,108.11111111111113,83.5,130.66666666666666
2020-07-19 16:00:00,0.08405800000000001,108.22222222222223,83.0,130.33333333333331
2020-07-19 16:30:00,0.08405800000000001,107.11111111111109,83.0,129.16666666666666
2020-07-19 17:00:00,0.08405800000000001,108.33333333333331,83.0,129.5
2020-07-19 17:30:00,0.08405800000000001,107.22222222222223,82.66666666666666,129.16666666666666
2020-07-19 18:00:00,0.08405800000000001,107.11111111111109,83.00000000000001,128.66666666666669
2020-07-19 18:30:00,0.08405800000000001,107.0,83.00000000000001,127.5
2020-07-19 19:00:00,0.08405800000000001,106.77777777777777,82.5,127.0
2020-07-19 19:30:00,0.08405800000000001,106.7777777777778,83.5,127.16666666666669
2020-07-19 20:00:00,0.08405800000000001,106.11111111111113,82.5,125.83333333333331
2020-07-19 20:30:00,0.08405800000000001,106.11111111111109,82.49999999999999,125.83333333333334
2020-07-19 21:00:00,0.08405800000000001,105.7777777777778,82.16666666666667,125.5
2020-07-19 21:30:00,0.08405800000000001,105.33333333333336,82.16666666666667,124.83333333333331
2020-07-19 22:00:00,0.08405800000000001,105.11111111111113,82.33333333333333,125.16666666666669
2020-07-19 22:30:00,0.08405800000000001,104.44444444444444,81.33333333333334,124.16666666666666
2020-07-19 23:00:00,0.08405800000000001,104.55555555555556,82.0,124.5
2020-07-19 23:30:00,0.08405800000000001,103.66666666666669,81.0,123.83333333333331
2020-07-20 00:00:00,0.08405800000000001,103.33333333333331,81.16666666666667,123.83333333333331
2020-07-20 00:30:00,0.08405800000000001,103.11111111111109,81.00000000000001,123.16666666666666
2020-07-20 01:00:00,0.08405800000000001,102.66666666666669,80.5,122.75
2020-07-20 01:30:00,0.08405800000000001,102.66666666666669,80.33333333333334,123.0
2020-07-20 02:00:00,0.08405800000000001,101.88888888888887,80.0,122.33333333333331
2020-07-20 02:30:00,0.08405800000000001,102.11111111111113,79.83333333333333,122.5
2020-07-20 03:00:00,0.08405800000000001,101.7777777777778,79.16666666666667,121.83333333333331
2020-07-20 03:30:00,0.08405800000000001,101.66666666666669,78.99999999999999,121.83333333333334
2020-07-20 04:00:00,0.08405800000000001,101.33333333333331,78.66666666666667,120.83333333333334
2020-07-20 04:30:00,0.08405800000000001,100.7777777777778,78.0,120.16666666666669
2020-07-20 05:00:00,0.08405800000000001,101.0,79.0,120.0
2020-07-20 05:30:00,0.08405800000000001,100.33333333333331,78.0,119.33333333333334
2020-07-20 06:00:00,0.08405800000000001,100.2222222222222,78.66666666666667,119.33333333333331
2020-07-20 06:30:00,0.08405800000000001,99.44444444444444,78.33333333333333,119.0
2020-07-20 07:00:00,0.08405800000000001,98.77777777777777,78.00000000000001,118.66666666666669
2020-07-20 07:30:00,0.08405800000000001,98.33333333333336,78.33333333333333,118.83333333333331
